Date,Open,High,Low,Close,AdjClose,Volume
2000-07-01,67.42,77.73,67.10,74.76,39.45,59179836
2000-08-01,74.93,80.22,73.09,76.12,40.16,68992648
2000-09-01,76.27,77.83,71.20,72.78,38.40,60517337
2000-10-01,72.51,77.79,65.23,72.55,38.28,50920752
2000-11-01,75.73,78.56,64.08,64.39,33.98,74742157
2000-12-01,64.90,73.78,62.37,69.53,36.68,63949514
2001-01-01,69.53,82.06,64.11,81.25,42.87,106508675
2001-02-01,78.45,78.65,67.97,69.68,36.77,76559908
2001-03-01,69.68,72.55,56.47,67.11,35.41,115594255
2001-04-01,68.12,72.40,58.81,71.46,37.71,67068154
2001-05-01,71.46,73.87,67.97,70.46,37.18,64252505
2001-06-01,70.08,70.76,64.16,65.74,35.17,63415165
2001-07-01,65.95,66.99,58.41,62.09,33.22,78346553
2001-08-01,60.82,62.53,56.59,58.96,31.54,93901915
2001-09-01,59.34,59.34,33.56,46.76,25.02,157170465
2001-10-01,46.64,50.71,43.27,48.00,25.68,121751454
2001-11-01,48.35,59.27,47.22,55.93,29.92,115052472
2001-12-01,55.81,62.41,54.40,61.67,33.00,61277863
2002-01-01,61.67,64.20,53.91,56.02,29.97,112255599
2002-02-01,56.43,57.21,48.48,52.74,28.29,113639703
2002-03-01,52.90,58.30,52.61,57.43,30.80,92682430
2002-04-01,57.43,58.10,52.62,57.17,30.66,95505663
2002-05-01,57.17,61.89,56.45,60.00,32.18,99398710
2002-06-01,59.65,60.34,49.91,54.68,29.83,137350829
2002-07-01,54.02,57.44,38.84,45.14,24.63,184316095
2002-08-01,45.13,50.59,41.57,49.08,26.78,103645281
2002-09-01,48.85,49.28,35.39,35.77,19.51,148612505
2002-10-01,36.08,38.62,27.68,34.25,18.69,194959098
2002-11-01,33.94,41.16,32.79,39.15,21.36,118790908
2002-12-01,39.61,42.29,33.24,34.10,18.60,104226456
2003-01-01,34.10,37.21,28.41,30.67,16.73,151454671
2003-02-01,31.07,32.87,27.37,29.28,16.05,141065606
2003-03-01,29.75,34.25,25.61,29.90,16.39,176067340
2003-04-01,30.10,37.78,28.90,35.99,19.73,144051719
2003-05-01,35.99,39.74,35.01,38.68,21.20,128067351
2003-06-01,39.62,46.68,39.62,43.87,24.05,156702542
2003-07-01,43.69,46.57,42.41,44.94,25.23,119550968
2003-08-01,44.27,44.27,40.28,40.89,22.96,115443976
2003-09-01,41.20,46.55,39.77,40.59,22.79,143038315
2003-10-01,40.47,45.14,40.04,44.07,24.75,106407689
2003-11-01,44.04,45.50,41.87,45.18,25.37,110588685
2003-12-01,45.50,51.30,45.48,51.03,28.65,127181246
2004-01-01,51.03,52.07,48.31,48.86,27.43,111987559
2004-02-01,48.94,56.14,48.47,53.60,30.29,124063819
2004-03-01,54.06,60.41,50.36,52.55,29.69,179488590
2004-04-01,52.90,56.77,52.67,53.40,30.18,111542120
2004-05-01,53.08,53.95,49.04,50.34,28.45,121546273
2004-06-01,50.33,52.31,48.95,50.16,28.35,115227068
2004-07-01,50.61,50.76,44.00,44.86,25.95,119394833
2004-08-01,44.50,44.55,40.68,43.41,25.12,109500034
2004-09-01,43.81,47.52,43.78,44.95,26.01,113157356
2004-10-01,45.13,47.96,44.24,46.29,26.78,103719150
2004-11-01,46.42,50.88,46.15,49.52,28.65,104355427
2004-12-01,49.52,51.52,49.43,50.74,29.36,94048013
2005-01-01,50.86,52.53,49.21,50.68,29.32,104931758
2005-02-01,50.68,53.87,50.64,51.50,30.17,104065553
2005-03-01,51.50,54.29,51.13,51.69,30.29,97236421
2005-04-01,51.54,53.22,48.75,48.98,28.70,109711286
